method,crash_point,leakage_after_recovery_mean,leakage_after_recovery_std,leakage_after_recovery_nunique,recovery_latency_ms_mean,recovery_latency_ms_std,recovery_latency_ms_nunique,recall_after_recovery_mean,recall_after_recovery_std,recall_after_recovery_nunique,recovery_path_signature_nunique
Lethe,crash_after_audit_log_append,0.0,0.0,1,23.200816,1.3789637650064777,5,0.9744999999999999,0.003940344628262076,4,5
Lethe,crash_after_key_destruction,0.0,0.0,1,27.5552754,1.2366925449161563,5,0.9589000000000001,0.01999447292049531,8,5
Lethe,crash_after_overlay_write,0.0,0.0,1,31.372638799999997,0.8208360423884636,5,0.9589000000000001,0.01999447292049531,8,5
Lethe,crash_after_predicate_update,0.0,0.0,1,35.5012462,3.147557956167716,5,0.9589000000000001,0.01999447292049531,8,5
Lethe,crash_after_reverse_adjacency_update,0.0,0.0,1,40.9558484,1.4426554264912579,5,0.9667,0.016483165255560126,8,4
Lethe,crash_during_overlay_replay,0.0,0.0,1,44.932916399999996,1.4210910035077908,5,0.9744999999999999,0.003940344628262076,4,5
Lethe,crash_during_predicate_replay,0.0,0.0,1,50.2720256,0.9264899471004242,5,0.9744999999999999,0.003940344628262076,4,3
Lethe,recovery_missing_audit_record,0.0,0.0,1,55.507379,2.3705228445736353,5,0.9589000000000001,0.019994472920495315,8,5
Lethe,recovery_missing_overlay,0.0,0.0,1,59.231931599999996,1.6895279149785072,5,0.9667,0.016483165255560137,8,5
Periodic-rebuild,crash_after_audit_log_append,0.039209966,0.0012131066409425612,5,17.7048542,1.3661885427365394,5,0.9744999999999999,0.003940344628262076,4,4
Periodic-rebuild,crash_after_key_destruction,0.03803976,0.00168293520787187,5,20.627731,0.8418723789581367,5,0.9744999999999999,0.003940344628262076,4,5
Periodic-rebuild,crash_after_overlay_write,0.048892807999999996,0.0012064049081709444,5,24.6012394,1.1836807155111955,5,0.9744999999999999,0.003940344628262076,4,5
Periodic-rebuild,crash_after_predicate_update,0.052714202,0.0009701457035962768,5,28.357298000000004,1.646136004077555,5,0.9744999999999999,0.003940344628262076,4,5
Periodic-rebuild,crash_after_reverse_adjacency_update,0.046337524000000005,0.002417517210306999,5,31.85462,1.9669981362137094,5,0.9744999999999999,0.003940344628262076,4,5
Periodic-rebuild,crash_during_overlay_replay,0.053108794,0.0028457444447795538,5,36.909202400000005,2.2491831400854085,5,0.9744999999999999,0.003940344628262076,4,5
Periodic-rebuild,crash_during_predicate_replay,0.056072234,0.001332189753555362,5,39.470443599999996,2.371704413347862,5,0.9744999999999999,0.003940344628262076,4,5
Periodic-rebuild,recovery_missing_audit_record,0.04771822,0.0019402587249832653,5,43.473138399999996,1.3465114545116939,5,0.9744999999999999,0.003940344628262076,4,5
Periodic-rebuild,recovery_missing_overlay,0.067906488,0.0015191270320660101,5,47.6820418,0.3906590596115632,5,0.9744999999999999,0.003940344628262076,4,4
Physical-delete,crash_after_audit_log_append,0.0,0.0,1,27.428186,2.112166314374341,5,0.9744999999999999,0.003940344628262076,4,4
Physical-delete,crash_after_key_destruction,0.0,0.0,1,32.831634199999996,2.1821221543813385,5,0.9744999999999999,0.003940344628262076,4,5
Physical-delete,crash_after_overlay_write,0.0,0.0,1,38.049546,2.482072949852326,5,0.9744999999999999,0.003940344628262076,4,3
Physical-delete,crash_after_predicate_update,0.0,0.0,1,43.6081366,1.1078698775585143,5,0.9744999999999999,0.003940344628262076,4,5
Physical-delete,crash_after_reverse_adjacency_update,0.0,0.0,1,48.9181044,1.7919176501706482,5,0.9744999999999999,0.003940344628262076,4,5
Physical-delete,crash_during_overlay_replay,0.0,0.0,1,54.3054432,1.2387591447025401,5,0.9744999999999999,0.003940344628262076,4,5
Physical-delete,crash_during_predicate_replay,0.0,0.0,1,58.6465058,2.3189629275874166,5,0.9744999999999999,0.003940344628262076,4,5
Physical-delete,recovery_missing_audit_record,0.0,0.0,1,65.6960836,0.6766964861385402,5,0.9744999999999999,0.003940344628262076,4,4
Physical-delete,recovery_missing_overlay,0.0,0.0,1,71.5501024,1.1959968454402348,5,0.9744999999999999,0.003940344628262076,4,4
Tombstone,crash_after_audit_log_append,0.06407283,0.003170883711622296,5,12.402762200000002,1.0695636751884827,5,0.9744999999999999,0.003940344628262076,4,3
Tombstone,crash_after_key_destruction,0.06242833999999999,0.0020159232724120796,5,16.282173800000002,1.633040220782845,5,0.9744999999999999,0.003940344628262076,4,4
Tombstone,crash_after_overlay_write,0.07672884199999999,0.0025345110653694145,5,18.4963184,0.9041909956739979,5,0.9744999999999999,0.003940344628262076,4,4
Tombstone,crash_after_predicate_update,0.082968842,0.002413056265999614,5,22.5726088,2.0482942698289377,5,0.9744999999999999,0.003940344628262076,4,5
Tombstone,crash_after_reverse_adjacency_update,0.074307462,0.002084710392380931,5,24.2328866,0.862085238272777,5,0.9744999999999999,0.003940344628262076,4,5
Tombstone,crash_during_overlay_replay,0.08343104999999999,0.0030033657055271905,5,25.9167854,1.6405499305102214,5,0.9744999999999999,0.003940344628262076,4,4
Tombstone,crash_during_predicate_replay,0.089794758,0.003940171391855405,5,30.1218544,2.894515824910026,5,0.9744999999999999,0.003940344628262076,4,5
Tombstone,recovery_missing_audit_record,0.077740506,0.004360758694754607,5,34.8850714,1.5287215845739042,5,0.9744999999999999,0.003940344628262076,4,5
Tombstone,recovery_missing_overlay,0.10852737399999998,0.0015953526746423242,5,36.7619002,1.7618619656702768,5,0.9744999999999999,0.003940344628262076,4,4
