dataset,N,N_indexed,method,pattern,frac,seed,query_count,encountered_total_events,predicate_checked_total_events,distance_scored_total_events,frontier_inserted_total_events,expanded_total_events,returned_total_events,encountered_revoked_events,predicate_checked_revoked_events,distance_scored_revoked_events,frontier_inserted_revoked_events,expanded_revoked_events,returned_revoked_events,encountered_revoked_id_count,predicate_checked_revoked_id_count,distance_scored_revoked_id_count,frontier_inserted_revoked_id_count,expanded_revoked_id_count,returned_revoked_id_count,result_leakage,scored_leakage,frontier_leakage,expanded_leakage,operational_leakage
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,0,2000,114148,48412,71193,34492,12584,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,1,2000,114728,45738,71707,35616,16054,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,2,2000,109847,45701,70750,31340,12699,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,3,2000,114079,47418,72941,35730,14500,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,4,2000,112580,47292,71904,34907,12576,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,5,2000,119425,47045,75870,33870,13128,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,6,2000,106494,44271,63570,31628,13276,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,7,2000,106764,47247,65970,31224,12103,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,8,2000,110862,47184,68949,33203,13751,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-bypass,random,0.0,9,2000,114706,50801,72040,34646,14424,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,0,2000,122031,54560,77318,36359,15153,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,1,2000,122429,52231,73130,37097,14108,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,2,2000,123955,52838,73056,34896,14655,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,3,2000,123426,49857,77745,36200,13633,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,4,2000,112750,48083,70377,33593,14212,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,5,2000,117173,52094,66771,32576,13004,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,6,2000,114025,46488,66887,31727,11961,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,7,2000,117028,44421,70069,34804,14792,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,8,2000,113619,45891,71783,35511,14559,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Lethe-no-revaware-traversal,random,0.0,9,2000,113976,46294,70775,34313,13629,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,0,2000,113306,44957,78369,39766,15305,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,1,2000,117932,52048,71046,35061,12987,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,2,2000,124420,51650,81770,41048,15295,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,3,2000,115617,51878,72939,33682,14156,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,4,2000,124202,51936,74567,34924,13313,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
LegalBench-RAG,1200000,1200000,Physical-delete,random,0.0,5,2000,117572,50444,70051,33912,12031,20000,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
