method,rows,audit_expected_pass_rate,audit_raw_pass_rate,audit_correct_response_rate,safe_mode_expected_rate,safe_mode_raw_rate,safe_mode_correct_response_rate,leakage_correct_response_rate,recovery_correct_response_rate,audit_expected_pass_rate_pct,audit_raw_pass_rate_pct,audit_correct_response_rate_pct,safe_mode_expected_rate_pct,safe_mode_raw_rate_pct,safe_mode_correct_response_rate_pct,leakage_correct_response_rate_pct,recovery_correct_response_rate_pct
Lethe,180,0.7777777777777778,0.8888888888888888,0.7555555555555555,0.4444444444444444,0.3333333333333333,0.5333333333333333,1.0,0.3333333333333333,77.78,88.89,75.56,44.44,33.33,53.33,100.0,33.33
Periodic-rebuild,180,0.7777777777777778,0.0,0.2222222222222222,0.4444444444444444,0.0,0.5555555555555556,1.0,0.1111111111111111,77.78,0.0,22.22,44.44,0.0,55.56,100.0,11.11
Physical-delete,180,0.7777777777777778,0.0,0.2222222222222222,0.4444444444444444,0.0,0.5555555555555556,1.0,0.1111111111111111,77.78,0.0,22.22,44.44,0.0,55.56,100.0,11.11
Tombstone,180,0.7777777777777778,0.0,0.2222222222222222,0.4444444444444444,0.0,0.5555555555555556,1.0,0.1111111111111111,77.78,0.0,22.22,44.44,0.0,55.56,100.0,11.11
