table,dataset,N,N_indexed,pattern,frac,metric,baseline,n_pairs,lethe_mean,baseline_mean,mean_diff_lethe_minus_baseline,ci_low,ci_high,p_raw,p_holm,effect_size,effect_size_type,test,analysis_scope,metric_family,appendix_destination,attribution_policy,effect_size_note
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,random,0.5,scored_leakage,Tombstone,10,0.0,0.19937594,-0.19937594,-0.20388505,-0.19473996,3.356192784e-14,7.609131925e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,random,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0067615,0.1238575,-0.117096,-0.12061291,-0.11415318,1.762151503e-13,3.348087856e-12,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,random,0.5,recall10_vs_exact_topk,Tombstone,10,0.9705063,0.9351159,0.0353904,0.03254922,0.03820108,2.639436906e-09,1.243406662e-08,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,cluster,0.5,scored_leakage,Tombstone,10,0.0,0.26765948,-0.26765948,-0.27288516,-0.26238415,9.773611036e-15,2.693606691e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,cluster,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.0096681,0.1784755,-0.1688074,-0.17192312,-0.16550697,6.230077283e-15,1.869023185e-13,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,cluster,0.5,recall10_vs_exact_topk,Tombstone,10,0.9704408,0.9349586,0.0354822,0.03300354,0.03802666,9.269829296e-10,6.222064123e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,hub,0.5,scored_leakage,Tombstone,10,0.0,0.3131982,-0.3131982,-0.3180044,-0.3088828,5.580541041e-16,2.288021827e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,hub,0.5,drift10_vs_oracle_rebuild,Tombstone,10,0.013287,0.222872,-0.209585,-0.21340873,-0.20608449,2.666808348e-15,8.533786713e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,hub,0.5,recall10_vs_exact_topk,Tombstone,10,0.9719183,0.9345547,0.0373636,0.03525636,0.03935534,7.720740466e-11,1.080903665e-09,1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,bridge,0.5,scored_leakage,Tombstone,10,0.0,0.32058061,-0.32058061,-0.32504534,-0.31486201,1.222815917e-15,4.524418892e-14,-1.0,rank_biserial,paired_t_for_p_value,Lethe_vs_Tombstone_frac0.5,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim,rank_biserial_saturates_when_all_paired_differences_have_same_sign
