table,dataset,N,N_indexed,pattern,frac,metric,baseline,n_pairs,lethe_mean,baseline_mean,mean_diff_lethe_minus_baseline,ci_low,ci_high,p_raw,p_holm,effect_size,effect_size_type,rank_biserial,analysis_scope,metric_family,appendix_destination,attribution_policy
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,cluster,0.3,recall10_vs_exact_topk,Tombstone,10,0.9709394,0.9379042,0.0330352,0.03037789,0.03547721,2.4245954e-09,1.2122977e-08,7.342916,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.3,scored_leakage,Tombstone,10,0.0,0.24077353,-0.24077353,-0.24771267,-0.23452592,1.6026287e-13,4.1668346e-12,-21.536597,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0089039,0.1517376,-0.1428337,-0.14656883,-0.13894529,1.4229364e-13,3.8419284e-12,-21.823564,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,hub,0.3,recall10_vs_exact_topk,Tombstone,10,0.9710088,0.9378819,0.0331269,0.0301728,0.0356854,3.3817318e-09,1.3526927e-08,7.072295,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.3,scored_leakage,Tombstone,10,0.0,0.26014708,-0.26014708,-0.26646898,-0.25367234,6.9815521e-14,2.1642811e-12,-23.623244,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0093214,0.16298,-0.1536586,-0.15703884,-0.15053889,1.919918e-14,7.1036967e-13,-27.271907,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MS-MARCO-RBAC,8000000,8000000,bridge,0.3,recall10_vs_exact_topk,Tombstone,10,0.971613,0.9368367,0.0347763,0.0317762,0.03786334,5.1759975e-09,1.3526927e-08,6.740138,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,random,0.3,scored_leakage,Tombstone,10,0.0,0.14697261,-0.14697261,-0.15013513,-0.1431642,4.5801076e-14,1.5572366e-12,-24.757672,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,random,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0049582,0.081561,-0.0766028,-0.07939932,-0.07390529,1.9556535e-12,3.9113071e-11,-16.299507,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,random,0.3,recall10_vs_exact_topk,Tombstone,10,0.9801253,0.947617,0.0325083,0.03076919,0.03408371,4.486184e-11,6.729276e-10,11.490125,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,cluster,0.3,scored_leakage,Tombstone,10,0.0,0.20522605,-0.20522605,-0.20917172,-0.20072146,1.2147491e-14,4.7375215e-13,-28.696376,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,cluster,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0063657,0.1197999,-0.1134342,-0.11714634,-0.10942456,1.1508447e-12,2.498751e-11,-17.291589,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,cluster,0.3,recall10_vs_exact_topk,Tombstone,10,0.9801265,0.9458106,0.0343159,0.03207397,0.0370898,9.4697677e-10,7.5758141e-09,8.163096,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,hub,0.3,scored_leakage,Tombstone,10,0.0,0.23623329,-0.23623329,-0.23962739,-0.23307101,3.2421942e-16,1.5238313e-14,-42.933477,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,hub,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.008631,0.1506873,-0.1420563,-0.14631802,-0.13775392,3.8104295e-13,8.7639878e-12,-19.557005,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,hub,0.3,recall10_vs_exact_topk,Tombstone,10,0.981025,0.94622,0.034805,0.0326574,0.03739732,6.698296e-10,6.0284664e-09,8.487121,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,bridge,0.3,scored_leakage,Tombstone,10,0.0,0.26019944,-0.26019944,-0.26475621,-0.25623856,1.7822504e-15,7.6636767e-14,-35.523443,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,bridge,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0087782,0.1627602,-0.153982,-0.15853176,-0.14947505,3.3391421e-13,8.0139411e-12,-19.84663,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,SIFT1M,1000000,1000000,bridge,0.3,recall10_vs_exact_topk,Tombstone,10,0.9790267,0.9446909,0.0343358,0.032812,0.03582103,1.0221689e-11,1.7376871e-10,13.554202,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,random,0.3,scored_leakage,Tombstone,10,0.0,0.14549103,-0.14549103,-0.1493827,-0.1417285,1.1142915e-13,3.2314455e-12,-22.425592,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,random,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0060302,0.0814272,-0.075397,-0.07865861,-0.07163268,2.1752075e-11,3.480332e-10,-12.458198,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,random,0.3,recall10_vs_exact_topk,Tombstone,10,0.9692958,0.9374986,0.0317972,0.02915429,0.03458783,4.2225566e-09,1.3526927e-08,6.897087,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,cluster,0.3,scored_leakage,Tombstone,10,0.0,0.20374491,-0.20374491,-0.20817043,-0.19879978,3.2337742e-14,1.131821e-12,-25.735203,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,cluster,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.006693,0.1166864,-0.1099934,-0.111958,-0.10802198,3.9527755e-15,1.620638e-13,-32.512528,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,cluster,0.3,recall10_vs_exact_topk,Tombstone,10,0.970499,0.9362483,0.0342507,0.03226754,0.03618747,1.3692474e-10,1.7800216e-09,10.141471,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,hub,0.3,scored_leakage,Tombstone,10,0.0,0.24284257,-0.24284257,-0.24661199,-0.23898233,1.1333221e-15,4.9866174e-14,-37.357231,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,hub,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.00815,0.1519521,-0.1438021,-0.14613194,-0.14167304,1.1007468e-15,4.9533608e-14,-37.478553,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,hub,0.3,recall10_vs_exact_topk,Tombstone,10,0.9699354,0.9380198,0.0319156,0.02985688,0.03409644,4.528255e-10,4.528255e-09,8.868665,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,bridge,0.3,scored_leakage,Tombstone,10,0.0,0.26388296,-0.26388296,-0.27032407,-0.25714115,7.7770826e-14,2.3331248e-12,-23.341277,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,routing_leakage,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,bridge,0.3,drift10_vs_oracle_rebuild,Tombstone,10,0.0107444,0.1629665,-0.1522221,-0.15563571,-0.1487422,2.8368311e-14,1.0212592e-12,-26.112886,paired_cohens_dz,-1.0,Lethe_vs_Tombstone_pairwise,answer_drift,Appendix G,grouped_appendix_significance_not_per_claim
appendix_G_pairwise_significance,MIMIC-IV-CaseStudy,1800000,1800000,bridge,0.3,recall10_vs_exact_topk,Tombstone,10,0.9674537,0.9363861,0.0310676,0.02937968,0.03292102,1.2620255e-10,1.7668357e-09,10.234505,paired_cohens_dz,1.0,Lethe_vs_Tombstone_pairwise,retrieval_quality,Appendix G,grouped_appendix_significance_not_per_claim
